i,section,y_mm,json,flip,y,sub,hemisphere,chunk,acquisition,sample,raw
60,outputs/padded//brain_region_T43_macaque_f001_Mq179-20230428.nii.gz,12.54,outputs/json//brain_region_T43_macaque_f001_Mq179-20230428.json,False,1427,f001,L,1,synth,1427,outputs/padded//brain_region_T43_macaque_f001_Mq179-20230428.nii.gz
61,outputs/padded//brain_region_T41_macaque_f001_Mq179-20230428.nii.gz,11.97,outputs/json//brain_region_T41_macaque_f001_Mq179-20230428.json,False,1456,f001,L,1,synth,1456,outputs/padded//brain_region_T41_macaque_f001_Mq179-20230428.nii.gz
62,outputs/padded//brain_region_T39_macaque_f001_Mq179-20230428.nii.gz,11.49,outputs/json//brain_region_T39_macaque_f001_Mq179-20230428.json,False,1480,f001,L,1,synth,1480,outputs/padded//brain_region_T39_macaque_f001_Mq179-20230428.nii.gz
63,outputs/padded//brain_region_T37_macaque_f001_Mq179-20230428.nii.gz,10.99,outputs/json//brain_region_T37_macaque_f001_Mq179-20230428.json,False,1505,f001,L,1,synth,1505,outputs/padded//brain_region_T37_macaque_f001_Mq179-20230428.nii.gz
64,outputs/padded//brain_region_T33_macaque_f001_Mq179-20230428.nii.gz,10.0,outputs/json//brain_region_T33_macaque_f001_Mq179-20230428.json,False,1554,f001,L,1,synth,1554,outputs/padded//brain_region_T33_macaque_f001_Mq179-20230428.nii.gz
65,outputs/padded//brain_region_T31_macaque_f001_Mq179-20230428.nii.gz,9.51,outputs/json//brain_region_T31_macaque_f001_Mq179-20230428.json,False,1578,f001,L,1,synth,1578,outputs/padded//brain_region_T31_macaque_f001_Mq179-20230428.nii.gz
66,outputs/padded//brain_region_T29_macaque_f001_Mq179-20230428.nii.gz,9.11,outputs/json//brain_region_T29_macaque_f001_Mq179-20230428.json,False,1598,f001,L,1,synth,1598,outputs/padded//brain_region_T29_macaque_f001_Mq179-20230428.nii.gz
67,outputs/padded//brain_region_T27_macaque_f001_Mq179-20230428.nii.gz,8.5,outputs/json//brain_region_T27_macaque_f001_Mq179-20230428.json,False,1629,f001,L,1,synth,1629,outputs/padded//brain_region_T27_macaque_f001_Mq179-20230428.nii.gz
68,outputs/padded//brain_region_T25_macaque_f001_Mq179-20230428.nii.gz,8.0,outputs/json//brain_region_T25_macaque_f001_Mq179-20230428.json,False,1654,f001,L,1,synth,1654,outputs/padded//brain_region_T25_macaque_f001_Mq179-20230428.nii.gz
69,outputs/padded//brain_region_T28_macaque_f001_Mq179-20230428.nii.gz,6.73,outputs/json//brain_region_T28_macaque_f001_Mq179-20230428.json,False,1718,f001,L,1,synth,1718,outputs/padded//brain_region_T28_macaque_f001_Mq179-20230428.nii.gz
70,outputs/padded//brain_region_T30_macaque_f001_Mq179-20230428.nii.gz,6.23,outputs/json//brain_region_T30_macaque_f001_Mq179-20230428.json,False,1742,f001,L,1,synth,1742,outputs/padded//brain_region_T30_macaque_f001_Mq179-20230428.nii.gz
71,outputs/padded//brain_region_T32_macaque_f001_Mq179-20230428.nii.gz,5.72,outputs/json//brain_region_T32_macaque_f001_Mq179-20230428.json,False,1768,f001,L,1,synth,1768,outputs/padded//brain_region_T32_macaque_f001_Mq179-20230428.nii.gz
72,outputs/padded//brain_region_T34_macaque_f001_Mq179-20230428.nii.gz,5.19,outputs/json//brain_region_T34_macaque_f001_Mq179-20230428.json,False,1794,f001,L,1,synth,1794,outputs/padded//brain_region_T34_macaque_f001_Mq179-20230428.nii.gz
73,outputs/padded//brain_region_T36_macaque_f001_Mq179-20230428.nii.gz,4.73,outputs/json//brain_region_T36_macaque_f001_Mq179-20230428.json,False,1818,f001,L,1,synth,1818,outputs/padded//brain_region_T36_macaque_f001_Mq179-20230428.nii.gz
74,outputs/padded//brain_region_T38_macaque_f001_Mq179-20230428.nii.gz,4.22,outputs/json//brain_region_T38_macaque_f001_Mq179-20230428.json,False,1843,f001,L,1,synth,1843,outputs/padded//brain_region_T38_macaque_f001_Mq179-20230428.nii.gz
75,outputs/padded//brain_region_T40_macaque_f001_Mq179-20230428.nii.gz,3.72,outputs/json//brain_region_T40_macaque_f001_Mq179-20230428.json,False,1868,f001,L,1,synth,1868,outputs/padded//brain_region_T40_macaque_f001_Mq179-20230428.nii.gz
76,outputs/padded//brain_region_T42_macaque_f001_Mq179-20230428.nii.gz,3.22,outputs/json//brain_region_T42_macaque_f001_Mq179-20230428.json,False,1893,f001,L,1,synth,1893,outputs/padded//brain_region_T42_macaque_f001_Mq179-20230428.nii.gz
77,outputs/padded//brain_region_T44_macaque_f001_Mq179-20230428.nii.gz,2.72,outputs/json//brain_region_T44_macaque_f001_Mq179-20230428.json,False,1918,f001,L,1,synth,1918,outputs/padded//brain_region_T44_macaque_f001_Mq179-20230428.nii.gz
79,outputs/padded//brain_region_T48_macaque_f001_Mq179-20230428.nii.gz,1.69,outputs/json//brain_region_T48_macaque_f001_Mq179-20230428.json,False,1970,f001,L,1,synth,1970,outputs/padded//brain_region_T48_macaque_f001_Mq179-20230428.nii.gz
79,outputs/padded//brain_region_T50_macaque_f001_Mq179-20230428.nii.gz,1.22,outputs/json//brain_region_T50_macaque_f001_Mq179-20230428.json,False,1993,f001,L,1,synth,1993,outputs/padded//brain_region_T50_macaque_f001_Mq179-20230428.nii.gz
80,outputs/padded//brain_region_T52_macaque_f001_Mq179-20230428.nii.gz,0.71,outputs/json//brain_region_T52_macaque_f001_Mq179-20230428.json,False,2018,f001,L,1,synth,2018,outputs/padded//brain_region_T52_macaque_f001_Mq179-20230428.nii.gz
81,outputs/padded//brain_region_T54_macaque_f001_Mq179-20230428.nii.gz,0.22,outputs/json//brain_region_T54_macaque_f001_Mq179-20230428.json,False,2043,f001,L,1,synth,2043,outputs/padded//brain_region_T54_macaque_f001_Mq179-20230428.nii.gz
82,outputs/padded//brain_region_T56_macaque_f001_Mq179-20230428.nii.gz,-0.28,outputs/json//brain_region_T56_macaque_f001_Mq179-20230428.json,False,2068,f001,L,1,synth,2068,outputs/padded//brain_region_T56_macaque_f001_Mq179-20230428.nii.gz
83,outputs/padded//brain_region_T58_macaque_f001_Mq179-20230428.nii.gz,-0.79,outputs/json//brain_region_T58_macaque_f001_Mq179-20230428.json,False,2094,f001,L,1,synth,2094,outputs/padded//brain_region_T58_macaque_f001_Mq179-20230428.nii.gz
84,outputs/padded//brain_region_T60_macaque_f001_Mq179-20230428.nii.gz,-1.29,outputs/json//brain_region_T60_macaque_f001_Mq179-20230428.json,False,2118,f001,L,1,synth,2118,outputs/padded//brain_region_T60_macaque_f001_Mq179-20230428.nii.gz
85,outputs/padded//brain_region_T62_macaque_f001_Mq179-20230428.nii.gz,-1.8,outputs/json//brain_region_T62_macaque_f001_Mq179-20230428.json,False,2144,f001,L,1,synth,2144,outputs/padded//brain_region_T62_macaque_f001_Mq179-20230428.nii.gz
86,outputs/padded//brain_region_T64_macaque_f001_Mq179-20230428.nii.gz,-2.3,outputs/json//brain_region_T64_macaque_f001_Mq179-20230428.json,False,2169,f001,L,1,synth,2169,outputs/padded//brain_region_T64_macaque_f001_Mq179-20230428.nii.gz
87,outputs/padded//brain_region_T66_macaque_f001_Mq179-20230428.nii.gz,-2.8,outputs/json//brain_region_T66_macaque_f001_Mq179-20230428.json,False,2194,f001,L,1,synth,2194,outputs/padded//brain_region_T66_macaque_f001_Mq179-20230428.nii.gz
88,outputs/padded//brain_region_T68_macaque_f001_Mq179-20230428.nii.gz,-3.3,outputs/json//brain_region_T68_macaque_f001_Mq179-20230428.json,False,2219,f001,L,1,synth,2219,outputs/padded//brain_region_T68_macaque_f001_Mq179-20230428.nii.gz
89,outputs/padded//brain_region_T72_macaque_f001_Mq179-20230428.nii.gz,-4.3,outputs/json//brain_region_T72_macaque_f001_Mq179-20230428.json,False,2269,f001,L,1,synth,2269,outputs/padded//brain_region_T72_macaque_f001_Mq179-20230428.nii.gz
90,outputs/padded//brain_region_T74_macaque_f001_Mq179-20230428.nii.gz,-4.8,outputs/json//brain_region_T74_macaque_f001_Mq179-20230428.json,False,2294,f001,L,1,synth,2294,outputs/padded//brain_region_T74_macaque_f001_Mq179-20230428.nii.gz
91,outputs/padded//brain_region_T76_macaque_f001_Mq179-20230428.nii.gz,-5.3,outputs/json//brain_region_T76_macaque_f001_Mq179-20230428.json,False,2319,f001,L,1,synth,2319,outputs/padded//brain_region_T76_macaque_f001_Mq179-20230428.nii.gz
92,outputs/padded//brain_region_T78_macaque_f001_Mq179-20230428.nii.gz,-5.8,outputs/json//brain_region_T78_macaque_f001_Mq179-20230428.json,False,2344,f001,L,1,synth,2344,outputs/padded//brain_region_T78_macaque_f001_Mq179-20230428.nii.gz
93,outputs/padded//brain_region_T80_macaque_f001_Mq179-20230428.nii.gz,-6.3,outputs/json//brain_region_T80_macaque_f001_Mq179-20230428.json,False,2369,f001,L,1,synth,2369,outputs/padded//brain_region_T80_macaque_f001_Mq179-20230428.nii.gz
94,outputs/padded//brain_region_T82_macaque_f001_Mq179-20230428.nii.gz,-6.8,outputs/json//brain_region_T82_macaque_f001_Mq179-20230428.json,False,2394,f001,L,1,synth,2394,outputs/padded//brain_region_T82_macaque_f001_Mq179-20230428.nii.gz
95,outputs/padded//brain_region_T84_macaque_f001_Mq179-20230428.nii.gz,-7.3,outputs/json//brain_region_T84_macaque_f001_Mq179-20230428.json,False,2419,f001,L,1,synth,2419,outputs/padded//brain_region_T84_macaque_f001_Mq179-20230428.nii.gz
96,outputs/padded//brain_region_T88_macaque_f001_Mq179-20230428.nii.gz,-8.3,outputs/json//brain_region_T88_macaque_f001_Mq179-20230428.json,False,2469,f001,L,1,synth,2469,outputs/padded//brain_region_T88_macaque_f001_Mq179-20230428.nii.gz
97,outputs/padded//brain_region_T90_macaque_f001_Mq179-20230428.nii.gz,-8.8,outputs/json//brain_region_T90_macaque_f001_Mq179-20230428.json,False,2494,f001,L,1,synth,2494,outputs/padded//brain_region_T90_macaque_f001_Mq179-20230428.nii.gz
98,outputs/padded//brain_region_T92_macaque_f001_Mq179-20230428.nii.gz,-9.3,outputs/json//brain_region_T92_macaque_f001_Mq179-20230428.json,False,2519,f001,L,1,synth,2519,outputs/padded//brain_region_T92_macaque_f001_Mq179-20230428.nii.gz
99,outputs/padded//brain_region_T94_macaque_f001_Mq179-20230428.nii.gz,-9.79,outputs/json//brain_region_T94_macaque_f001_Mq179-20230428.json,False,2544,f001,L,1,synth,2544,outputs/padded//brain_region_T94_macaque_f001_Mq179-20230428.nii.gz
100,outputs/padded//brain_region_T96_macaque_f001_Mq179-20230428.nii.gz,-10.25,outputs/json//brain_region_T96_macaque_f001_Mq179-20230428.json,False,2567,f001,L,1,synth,2567,outputs/padded//brain_region_T96_macaque_f001_Mq179-20230428.nii.gz
101,outputs/padded//brain_region_T98_macaque_f001_Mq179-20230428.nii.gz,-10.74,outputs/json//brain_region_T98_macaque_f001_Mq179-20230428.json,False,2591,f001,L,1,synth,2591,outputs/padded//brain_region_T98_macaque_f001_Mq179-20230428.nii.gz
102,outputs/padded//brain_region_T100_macaque_f001_Mq179-20230428.nii.gz,-11.24,outputs/json//brain_region_T100_macaque_f001_Mq179-20230428.json,False,2616,f001,L,1,synth,2616,outputs/padded//brain_region_T100_macaque_f001_Mq179-20230428.nii.gz
103,outputs/padded//brain_region_T102_macaque_f001_Mq179-20230428.nii.gz,-11.74,outputs/json//brain_region_T102_macaque_f001_Mq179-20230428.json,False,2641,f001,L,1,synth,2641,outputs/padded//brain_region_T102_macaque_f001_Mq179-20230428.nii.gz
104,outputs/padded//brain_region_T104_macaque_f001_Mq179-20230428.nii.gz,-12.24,outputs/json//brain_region_T104_macaque_f001_Mq179-20230428.json,False,2666,f001,L,1,synth,2666,outputs/padded//brain_region_T104_macaque_f001_Mq179-20230428.nii.gz
105,outputs/padded//brain_region_T106_macaque_f001_Mq179-20230428.nii.gz,-12.74,outputs/json//brain_region_T106_macaque_f001_Mq179-20230428.json,False,2691,f001,L,1,synth,2691,outputs/padded//brain_region_T106_macaque_f001_Mq179-20230428.nii.gz
106,outputs/padded//brain_region_T108_macaque_f001_Mq179-20230428.nii.gz,-13.24,outputs/json//brain_region_T108_macaque_f001_Mq179-20230428.json,False,2716,f001,L,1,synth,2716,outputs/padded//brain_region_T108_macaque_f001_Mq179-20230428.nii.gz
107,outputs/padded//brain_region_T110_macaque_f001_Mq179-20230428.nii.gz,-13.74,outputs/json//brain_region_T110_macaque_f001_Mq179-20230428.json,False,2741,f001,L,1,synth,2741,outputs/padded//brain_region_T110_macaque_f001_Mq179-20230428.nii.gz
108,outputs/padded//brain_region_T112_macaque_f001_Mq179-20230428.nii.gz,-14.24,outputs/json//brain_region_T112_macaque_f001_Mq179-20230428.json,False,2766,f001,L,1,synth,2766,outputs/padded//brain_region_T112_macaque_f001_Mq179-20230428.nii.gz
109,outputs/padded//brain_region_T114_macaque_f001_Mq179-20230428.nii.gz,-14.74,outputs/json//brain_region_T114_macaque_f001_Mq179-20230428.json,False,2791,f001,L,1,synth,2791,outputs/padded//brain_region_T114_macaque_f001_Mq179-20230428.nii.gz
110,outputs/padded//brain_region_T116_macaque_f001_Mq179-20230428.nii.gz,-15.24,outputs/json//brain_region_T116_macaque_f001_Mq179-20230428.json,False,2816,f001,L,1,synth,2816,outputs/padded//brain_region_T116_macaque_f001_Mq179-20230428.nii.gz
111,outputs/padded//brain_region_T118_macaque_f001_Mq179-20230428.nii.gz,-15.74,outputs/json//brain_region_T118_macaque_f001_Mq179-20230428.json,False,2841,f001,L,1,synth,2841,outputs/padded//brain_region_T118_macaque_f001_Mq179-20230428.nii.gz
112,outputs/padded//brain_region_T120_macaque_f001_Mq179-20230428.nii.gz,-16.24,outputs/json//brain_region_T120_macaque_f001_Mq179-20230428.json,False,2866,f001,L,1,synth,2866,outputs/padded//brain_region_T120_macaque_f001_Mq179-20230428.nii.gz
113,outputs/padded//brain_region_T122_macaque_f001_Mq179-20230428.nii.gz,-16.74,outputs/json//brain_region_T122_macaque_f001_Mq179-20230428.json,False,2891,f001,L,1,synth,2891,outputs/padded//brain_region_T122_macaque_f001_Mq179-20230428.nii.gz
114,outputs/padded//brain_region_T124_macaque_f001_Mq179-20230428.nii.gz,-17.24,outputs/json//brain_region_T124_macaque_f001_Mq179-20230428.json,False,2916,f001,L,1,synth,2916,outputs/padded//brain_region_T124_macaque_f001_Mq179-20230428.nii.gz
115,outputs/padded//brain_region_T136_macaque_f001_Mq179-20230428.nii.gz,-17.87,outputs/json//brain_region_T136_macaque_f001_Mq179-20230428.json,False,2948,f001,L,1,synth,2948,outputs/padded//brain_region_T136_macaque_f001_Mq179-20230428.nii.gz
116,outputs/padded//brain_region_T134_macaque_f001_Mq179-20230428.nii.gz,-18.46,outputs/json//brain_region_T134_macaque_f001_Mq179-20230428.json,False,2977,f001,L,1,synth,2977,outputs/padded//brain_region_T134_macaque_f001_Mq179-20230428.nii.gz
117,outputs/padded//brain_region_T132_macaque_f001_Mq179-20230428.nii.gz,-19.17,outputs/json//brain_region_T132_macaque_f001_Mq179-20230428.json,False,3013,f001,L,1,synth,3013,outputs/padded//brain_region_T132_macaque_f001_Mq179-20230428.nii.gz
118,outputs/padded//brain_region_T128_macaque_f001_Mq179-20230428.nii.gz,-19.58,outputs/json//brain_region_T128_macaque_f001_Mq179-20230428.json,False,3033,f001,L,1,synth,3033,outputs/padded//brain_region_T128_macaque_f001_Mq179-20230428.nii.gz
119,outputs/padded//brain_region_T126_macaque_f001_Mq179-20230428.nii.gz,-20.2,outputs/json//brain_region_T126_macaque_f001_Mq179-20230428.json,False,3064,f001,L,1,synth,3064,outputs/padded//brain_region_T126_macaque_f001_Mq179-20230428.nii.gz
